日付,時刻,区,出没場所,緯度,経度,状況,ソース
2025/6/11,21:36,豊平区,豊平区羊ケ丘7番地1付近(焼山頂上から北方向へ約1.5kmの林道わき),42.990814,141.3875,カメラでヒグマを確認(親子),公式
2025/6/14,4:27,南区,南区豊滝412番地12付近(国道230号線わき),42.955741,141.242179,ヒグマを目撃,公式
2025/6/14,14:09,南区,南区定山渓無番地(道道95号線上おしどり水処理場から北西に約550m),42.988548,141.115877,ヒグマを目撃,公式
2025/6/14,17:36,西区,西区自然歩道｢三角山~盤渓ルｰト｣案内板4番付近,43.060437,141.287245,ヒグマを目撃,公式
2025/6/16,11:30,南区,南区白川市民の森(案内板20番から17番に向かって約20mの地点),42.986889,141.283722,ヒグマのフンを確認,公式
2025/6/16,13:00,南区,南区豊滝市民の森(案内板6番の地点),42.936125,141.233759,ヒグマのフンを確認,公式
2025/6/16,11:56,西区,西区西野市民の森(西野浄水場入口から宮丘公園に向かって約700mの地点),43.075621,141.252362,カメラでヒグマを確認,公式
2025/6/17,9:00,南区,南区南沢市民の森(案内板6番から3番に向かって約50mの地点),42.976167,141.304917,ヒグマのフンを確認,公式
2025/6/18,21:28,南区,南区簾舞380番地1付近(みすまい2区グラウンド南側),42.9541667,141.265,カメラでヒグマを確認(親子),公式
2025/6/19,13:28,南区,南区砥山28番地1付近(砥山橋から北西に約70mの地点),42.966064,141.257868,ヒグマを目撃,公式
2025/6/19,21:30,豊平区,豊平区羊ケ丘1番地2付近(北海道農業研究センタｰ講内｢宿舎前｣バス停付近),43.005973,141.416531,ヒグマを目撃,公式
2025/6/20,20:07,西区,西区西野9条9丁目7番地付近(西野川さらりんひろば付近の道路上),43.067551,141.258971,ヒグマを目撃,公式
2025/6/23,9:00,南区,南区白川市民の森(案内板29番から3番に向かって約10mの地点)※案内板3番と2番の中間地点付近でもフンを確認,42.980972,141.296444,足跡を確認,公式
2025/6/24,7:55,西区,西区福井506番地16付近(平福トンネルから福井方向へ約300mの地点),43.046417,141.254222,ヒグマを目撃,公式
2025/6/24,16:00,南区,南区豊滝市民の森(案内板5番から13番に向かって約300mの地点),42.93391,141.238034,ヒグマの足跡及びフンを確認,公式
2025/6/24,22:28,中央区,中央区円山西町2丁目22番付近,43.044056,141.298306,ヒグマを目撃,公式
2025/6/25,20:30,南区,南区小金湯22番地2付近(アイヌ文化交流センタｰから南西に約200mの道路上),42.967443,141.218489,ヒグマを目撃,公式
2025/6/26,7:05,南区,南区定山渓1066番地付近(国道230号線錦トンネルから東に約200mの道路上),42.969756,141.190154,ヒグマを目撃,公式
2025/6/26,17:15,南区,南区小金湯649番地25付近(国道230号線小金湯交差点から定山渓方面へ約850mの地点),42.969472,141.210806,ヒグマを目撃,公式
2025/6/28,16:49,手稲区,手稲区手稲富丘620番地3付近(手稲山麓線の手稲IC入口より手稲山方向へ約550mの地点),43.106705,141.236389,ヒグマを目撃(2頭),公式
2025/7/1,9:00,中央区,中央区盤渓市民の森(案内板10番から12番に向かって約150mの地点),43.0185,141.27425,フンを確認,公式
2025/7/3,15:00,南区,南区南沢市民の森(案内板1番から2番に向かって約200mの地点),42.974944,141.3015,フンを確認,公式
2025/7/4,3:30,清田区,清田区清田6条1丁目20番付近(北海道中央バス｢清田6条1丁目｣バス停付近),42.993356,141.424855,ヒグマらしき動物を目撃,公式
2025/7/4,21:20,南区,南区小金湯671番地付近(国道230号線一の沢橋付近),42.969471,141.208793,ヒグマを目撃,公式
2025/7/6,4:00,南区,南区中ノ沢1812番92付近,43.000803,141.301476,フン、爪跡、被毛を確認,公式
2025/7/8,9:30,手稲区,手稲区自然歩道｢手稲山北尾根ルｰト｣滝の沢分岐付近,43.101361,141.190444,フンを確認,公式
2025/7/9,18:40,豊平区,豊平区羊ケ丘1番地2付近(北海道農業研究センタｰ構内｢宿舎前｣バス停付近),43.005292,141.416033,ヒグマを目撃,公式
2025/7/12,2:40,南区,南区定山渓6番地3付近(国道230号線上の北海道電力豊平峡発電所付近),42.96836,141.1954,ヒグマを目撃,公式
2025/7/14,17:45,中央区,中央区宮の森1270番地付近(大倉山ジャンプ競技場から南西に約100mの付近),43.050472,141.291833,ヒグマを目撃,公式
2025/7/16,14:00,南区,南区南沢市民の森(案内板5番から約50mの地点),42.974722,141.302806,ヒグマを目撃,公式
2025/7/18,18:33,豊平区,豊平区羊ケ丘1番地2付近(北海道農業研究センタｰ構内､事務所より約1km南側の地点)※22時53分頃にも構内でヒグマの目撃あり,43.000222,141.414389,ヒグマを目撃,公式
2025/7/19,9:30,南区,南区定山渓無番地(定山渓自然の村入口から約700m手前の道路上),42.941556,141.152306,ヒグマを目撃,公式
2025/7/20,15:00,南区,南区白川1814番地364付近(硬石山線上の白川側から約200mの地点),42.972129,141.298621,ヒグマを目撃,公式
2025/7/21,16:33,南区,南区南沢1907番地2付近(硬石山線上の南沢市民の森入口から南沢方面に約250mの地点),42.976376,141.303618,ヒグマを目撃,公式
2025/7/22,11:30,南区,南区滝野無番地(滝野の森口多目的広場から南東に約600mの林道上),42.899556,141.373444,ヒグマを目撃（親子）,公式
2025/7/22,18:55,南区,南区白川1814番地242付近(硬石山線上の白川側から約200mの地点),42.97225,141.298472,ヒグマを目撃,公式
2025/7/24,6:40,南区,南区南沢515番地9付近(東海大学付属札幌高等学校テニスコｰト付近),42.99025,141.325306,ヒグマらしき動物を目撃,公式
2025/7/25,2:00,西区,西区自然歩道｢三角山~盤渓ルｰト｣(案内板3番から4番に向かって約100mの地点),43.060751,141.288166,ヒグマを目撃,公式
2025/7/27,20:30,南区,南区小金湯無番地(国道230号線一の沢橋付近),42.969137,141.206415,ヒグマを目撃,公式
2025/7/29,12:09,西区,西区小別沢50番地2付近(小別沢線の小別沢会館より福井側へ約130mの地点),43.046139,141.275111,ヒグマを目撃,公式
2025/7/29,13:50,中央区,中央区盤渓市民の森(案内板11番から10番に向かって約50mの散策路わき),43.01889,141.274724,爪跡、被毛を確認,公式
2025/7/30,6:00,南区,南区真駒内636番地1付近(澄川南地区雪堆積場より南側へ約560mの地点),42.963728,141.367051,ヒグマを目撃,公式
2025/7/30,11:00,中央区,中央区盤渓無番地(盤渓山登山口より頂上へ約80mの地点),43.01633333,141.2821389,足跡を確認,公式
2025/8/9,4:47,南区,南区簾舞496番地7付近,42.954297,141.247101,ヒグマを目撃,公式
2025/8/10,9:35,南区,南区藻岩下1丁目5番付近,43.011781,141.339968,ヒグマを目撃(親子),公式
2025/8/11,15:00,南区,南区白川市民の森(案内板21番から8番に向かって約100mの地点),42.98419444,141.2858333,足跡を確認,公式
2025/8/15,不明,豊平区,豊平区羊ケ丘 (羊ケ丘通りわきの北海道農業研究センタｰ構内),43.005111,141.420694,足跡を確認,公式
2025/8/17,7:50,豊平区,豊平区西岡544番地付近(西岡公園管理事務所から700m程南側の木道付近),42.980806,141.375944,ヒグマを目撃,公式
2025/8/17,17:30,手稲区,手稲区手稲本町592番地付近(手稲山麓線の手稲IC入口より手稲山方向へ約400mの地点),43.107667,141.237194,ヒグマを目撃,公式
2025/8/17,18:10,南区,南区白川1814番地付近(石山橋から西に約700mの地点),42.966306,141.307,ヒグマを目撃,公式
2025/8/17,21:36,南区,南区小金湯無番地(国道230号線一の沢橋付近),42.968972,141.206167,ヒグマを目撃,公式
2025/8/18,8:30,南区,南区豊滝427番地4付近(豊滝除雪ステｰション付近),42.957639,141.237778,堀り跡を確認,公式
2025/8/18,15:00,南区,南区豊滝市民の森(案内板9番付近),42.936797,141.232519,フンを確認,公式
2025/8/18,15:48,南区,南区澄川389番地2794付近(真駒内滝野線上で｢北海道動物霊園｣と｢北ガスてん太の森公園｣の中間地点),42.969694,141.359694,ヒグマらしき動物を目撃,公式
2025/8/22,9:00,南区,南区豊滝427番地4付近(豊滝除雪ステｰション付近),42.957639,141.237778,堀り跡を確認,公式
2025/8/22,18:10,手稲区,手稲区西宮の沢6条1丁目付近,43.08855555,141.2545556,ヒグマを目撃,公式
2025/8/23,6:00,南区,南区滝野189番地付近,42.913056,141.3583333,堀り跡を確認,公式
2025/8/24,23:49,南区,南区1814番地付近(北方自然教育園から東に約200mの地点),42.970861,141.292,カメラでヒグマを確認,公式
2025/8/25,7:00,南区,南区滝野189番地付近,42.913056,141.358333,堀り跡を確認,公式
2025/8/26,8:39,南区,南区定山渓無番地(神威岳木挽沢林道コｰスのさっぽろ湖第一展望台の登山口から約2.1km付近),42.998064,141.177972,ヒグマを目撃(2頭),公式
2025/8/26,10:04,南区,南区中ノ沢1812番35付近,42.993884,141.309421,ヒグマを目撃(親子),公式
2025/8/28,18:20,南区,南区中ノ沢1812番地35付近,42.993747,141.308871,ヒグマを目撃(親子),公式
2025/8/29,16:40,南区,南区簾舞403番地1付近(簾舞3条5丁目12番付近の草地),42.958126,141.261432,ヒグマらしき動物を目撃,公式
2025/8/30,20:05,南区,南区小金湯無番地(国道230号線上じょうてつバス｢一の沢｣バス停(定山渓方面)付近),42.968708,141.212356,ヒグマを目撃,公式
2025/8/31,7:31,南区,南区白川1814番地418付近(硬石山線の白川側から約350mの地点),42.972846,141.298563,ヒグマを目撃,公式
2025/8/31,11:58,南区,南区滝野208番地付近,42.90906,141.3519,ヒグマを目撃（2頭）,公式
